username,user_id,city,country,gender,year_of_birth,CSP,goals,level_of_education
hesoyam1017,5768320,,,,,,,
hessager,,,,,,,,
hessas,,Saint-Priest,FR,m,1987,,,m
Hesse,,,,,,,,
hesselwezelenburg,13027611,,,,,,,
het44,,,,,,,,
Heteropsis,3491848,,,,,,,
Hethsron,,,,,,,,
hetica,1865764,,,,,,,
hetkala,,,,,,,,
Hetoile,,,,,,,,
hetour,893772,,,,,,,
hetre87,3183452,limoges,FR,,None,,,
hets,2472045,,,,,,,
hetti,130175,,,,,,,
Hettie-4u_Agyemang,9144483,,,,,,,
hetzelef,1153243,,,,,,,
heuch119,,,,,,,,
heuleneuh,,,,,,,,
hevi789,,,,,,,,
Hewika,2727054,,,,,,,
Hex-16,1970614,,,,,,,
Hexagonian,,,,m,,Etudiant,,
hexal,,,,,,,,
HEXIGUUS,,,,,,,,
HeyChris,2390521,,,,,,,
heydo,,LE MANS,FR,m,1973,,"Découvrir, apprendre, partage, évoluer...",b
Heythem21,18794313,,,,,,,
hezouwem,,,,,,,,
HF,,,,,,,,
hf206,,,,,,,,
hf33,,,,,,,,
HFaycel,15751137,,,,,,,
hfellahi,,,,,,,,
HFER,,Paris,FR,m,1992,,Sujet qui m'a toujours intéressé. Je n'ai jamais eu le temps de me pencher dessus ! C'est sûrement le bon moment !,m
HFerguson,2349027,,,,,,,
hferrand38,17014315,,,,,,,
HFGaspar,,,,,,,,
Hfieve,,Seurre,FR,m,1989,,"Je ressens un manque de connaissance dans certains domaines auquel j'ai à faire face dans mon travail comme : traitement du signal, électronique, gestion, ...",m
hfkamer,5748778,,,,,,,
hfloua,13369348,,,,,,,
hfopa,,,,,,,,
HFOR,,,,,,,,
HFortin33,,,,,,,,
HFOURIER,,Paris,FR,m,1966,,,hs
hfra,6389911,,,,,,,
hfrangie,,,,,,,,
hfred,,,,,,,,
hfrns,6926642,,,,,,,
hfua,,midelt ,MA,m,1994,,,hs
HFX,,,,,,,,
HG32,,,,,,,,
hgadea,,,,,,,,
Hgaillard72,5093726,,,,,,,
HgAkila,5505478,,,,,,,
hgaly,1036864,,,,,,,
Hgatt,,,,,,,,
hgayo,6316906,,,,,,,
HgCommunity,767557,,,,,,,
hgh118,2615105,,,,,,,
hgildas-1991,5908087,,,,,,,
hgiquel,,,,,,,,
hgoncalves,,Senlis,FR,m,1983,Enseignant,,b
Hgoulei,,,,,,,,
HGouyet,,,,,,,,
hgs,1326680,,,,,,,
hguendeli,3280682,,,,,,,
Hgueneau,,,,,,,,
hguidat,3740676,,,,,,,
Hguilain,,,,,,,,
HGUILBERT,,,,,,,,
hguillermet-apprenant,330021,,,,,,,
HH_Elnour,11178720,,,,,,,
HH06,,Lez Fontaine,FR,f,1988,,Envie d'apprendre et de découvrir,a
hh76,7172307,,,,,,,
hhabiba,,,,,,,,
hhadri,,,,,,,,
hhadrouj,,,,,,,,
HHAMDANI,,,,,,,,
HHamza,,,,,,,,
hhamza1,5436934,,,,,,,
hhannahh,18535470,,,,,,,
hhare2,11206695,,,,,,,
HHAROUNA,,,,,,,,
Hhartmaier,,,,,,,,
hhasna30,,,,,,,,
hhassan,,,,,,,,
hhassan256,,,,,,,,
hhauraix,,,,,,,,
hhawada,,,,,,,,
HHBB,,,,,,,,
HHBZH,5900212,,,,,,,
hhenriot,,,,,,,,
hherbiet,1618662,,,,,,,
Hhercule,,Douala,CM,m,1978,,Utilisateur Wikipedia,p
hhervieux,,,,,,,,
hhhve,5566160,,,,,,,
hhibaile,,,,,,,,
HHOC,,,,,,,,
hhost,374913,,,,,,,
HHousni,6102580,,,,,,,
hhrsonsalvador,11915278,,,,,,,
HHughes,,Anvers,BE,m,1983,"Cadre, sup",,p
hhugueney,,lyon,FR,m,1971,,formation continu et interet pour le maintiens de mes connaissances et la découvertes de nouvelles choses,hs
hi_gigs,7330766,,,,,,,
hi_no_tori,309708,,,,,,,
Hi-Tech_STELIA,,,,,,,,
hi3200,,paris,FR,m,1970,,,m
hiambe,,,,,,,,
Hiba1996,,,,,,,,
Hibaa,,,,,,,,
Hibaaa,,,,,,,,
hibata,,casablanca,MA,f,1994,,,hs
hibatallah,,,,,,,,
hibatoullah,6374431,,,,,,,
hibbou,,,,,,,,
Hibernatix,14638252,,,,,,,
Hibernum,6694739,,,,,,,
hiberta,1183599,,,,,,,
Hibisco,1159858,,,,,,,
hibo,4257567,,,,,,,
Hibou126,818245,,,,,,,
hiboukone,,,,,,,,
hiboux31,1557315,,,,,,,
hibrahim,,,,,,,,
hicham,,,,,,,,
hicham_el_aaouada,,Agadir,MA,m,1995,,,b
HICHAM-YADF,,,,,,,,
hicham007,,,,,,,,
hicham1516,,,,,,,,
Hicham7,,,,,,,,
hicham78200,4547298,,,,,,,
hicham83,,,,,,,,
hicham85,11585921,,,,,,,
hicham99,6091522,,,,,,,
Hichamab,,,,,,,,
HichamAlaoui,17341285,,,,,,,
hichamAMINE,,,,,,,,
hichamea,,,,,,,,
hichamium69,,Lyon,FR,m,1986,,"Je suis de plus en plus confronté à des situations où le fait de maitriser la chimiométrie est une nécessité. Je suis actuellement en postdoctorat, et j'aimerai mettre en oeuvre des plans d'expériences pour mes études.",p
hichammks,,meknes,MA,m,1993,,c'est un site que j'apprecier bcp. ila ya des cours très organisés et des explications a haut niveau,b
hichamooc,3171869,,,,,,,
HichamOuss,,,,,,,,
hichamove,6425455,,,,,,,
hichamrafq,5950687,,,,,,,
HICHAMYOU,618945,,,,,,,
hichem,,,,,,,,
Hichem_Ben_Belgacem,,Tunis,TN,m,1987,Employé,Formation continue ,b
hichem147,,,,,,,,
hichemadri,,boumerdes,DZ,m,1991,,"la formation   que  vous  proposer en traitement de signal vient   compléter  mes études  ,étant  en deuxieme année master  en mécatronique  .",b
Hichembahloul,,,,,,,,
hichemchell,2311171,Medea,DZ,m,1995,,je veut apprendre plus avec vous,m
hicher,5360866,,,,,,,
Hichmess,,,,,,,,
hidaprod,,,,,,,,
hidaradil,,,,,,,,
hidari,,,,,,,,
hidayat-alrahman,5072681,,,,,,,
hide-guillaume,5293177,,,,,,,
hidegh,8945741,,,,,,,
HieMing,,,,,,,,
hiero,1311620,,,,,,,
Hieron,4617924,,,,,,,
Hieronymusde,1878431,,,,,,,
hierro005,186204,,,,,,,
Hifdi,,,,,,,,
HIFI,,,,,,,,
higfet,,,,,,,,
highercomve,8743903,,,,,,,
Highlander,,,,,,,,
highlow,,Sèvres,FR,f,1969,,"Apprendre pendant mes heures de temps libre avec des enseignants reconnus pour leurs compétences et pédagogie.

Et aussi, c'est gratuit. :o) 
Merci !",m
HighlyFavoredPaaKwesi,963512,,,,,,,
highs,,None,,m,1979,,C'est mon premier cours MOOC et je suis impatient de voir ce que cela va donner.,hs
hightom,,,,,,,,
higuera6072,21146602,,,,,,,
hikari1104,,Nantes,FR,,None,,,
Hikarikarla,,CAMPO MOURAO,BR,f,1995,,Learn more about the French language.,b
hikaru91,,,,,,,,
Hiko972,,,,,,,,
Hil91,,,,,,,,
HilaireKpedzroku,,,,,,,,
Hilal_MED1,4816663,,,,,,,
HilalAbdo,5587637,,,,,,,
Hilali_88,16096544,,,,,,,
Hilarion,79519,,,,,,,
hilaryhatcher,13234118,,,,,,,
Hildegonde2,5479470,,,,,,,
hildemjelva,9258357,,,,,,,
hilest,,IRACOUBO,GF,m,1963,Enseignant,Je veux enseigner la programmation à mes élèves de 6EME et je n'ai aucune base. Scratch me paraît plus accessible et motivant pour des enfants du collèges.,b
hilies,,None,,m,1985,,"apprendre à distance, sans se déplacer, confortablement avec des outils ergonomiques et ludiques",m
hilius,6776215,,,,,,,
hillelaben,,,,,,,,
hilli,,Bejaia,DZ,m,1988,,bonjour merci ,b
Hillicog,,,,,,,,
hilmaiya,11056807,,,,,,,
Hilmar,757469,,,,,,,
Hilofa,,,,,,,,
himabinduprabhu,8379052,,,,,,,
himalaya95,,None,,m,1937,,,m
himamehta95,9428559,,,,,,,
HimaniMukne,2406853,,,,,,,
Himanshi1237903,18858973,,,,,,,
Himanshu_Bhatt,13994195,,,,,,,
himanshu1912,17518587,,,,,,,
himanshu432,93585,,,,,,,
Himanshu4568,22267933,,,,,,,
himanshu59,11309410,,,,,,,
HimanshuCic,2283659,,,,,,,
Himanshukamboj,10608585,,,,,,,
HimanshuShukla85,4965772,,,,,,,
himanshuvassanpal,5565348,,,,,,,
Himawarime,,None,,f,1980,"Cadre, sup",Apprendre,m
himbras,,,,,,,,
himisir,15730827,,,,,,,
Himito,5312065,,,,,,,
himmat06,12470960,,,,,,,
Himo_Log,,,,,,,,
himonmist,11001145,,,,,,,
HiMoO,195398,,,,,,,
himou,2623718,,,,,,,
Himself,11822417,,,,,,,
Hinageshi,1881655,,,,,,,
HinaHins,,,,,,,,
hinaka,9162900,,,,,,,
hinanos,,,,,,,,
Hinareva,,,,,,,,
Hinatea9,6379174,,,,,,,
Hinber,3840635,,,,,,,
hincelin,,,,,,,,
hind_mooc,,,,,,,,
Hind-a,,Aix en provence,FR,f,1991,,,m
hind-hind,4835353,,,,,,,
hind198800,,,,,,,,
Hind21,5782153,,,,,,,
hind89h,,casablanca,MA,f,1993,Etudiant,,hs
hind97,,,,,,,,
hinda3,,,,,,,,
hinda80,143543,,,,,,,
Hindbhl,,,,,,,,
HindCastel,15304770,,,,,,,
hinde,,,,,,,,
hinde-martin,,,,,,,,
HindErratbaoui,,,,,,,,
HINDKAN,,,,,,,,
HindL,5360410,,,,,,,
hindmourig,,,,,,,,
Hindossa,,Casablanca,MA,f,1993,,,hs
hindoucha,,PARIS,FR,f,1992,,,m
HindS,,,,,,,,
Hindsborg,3512123,,,,,,,
Hinsberger,295383,,,,,,,
HIO,,,,,,,,
hiobi,,,,,,,,
Hiolen,5911087,,,,,,,
Hiona14600,,,,,,,,
hippo44700,,,,,,,,
hippo84,,,,,,,,
Hippocamp,,,,,,,,
Hippolaire,,,,,,,,
Hippolyte2,1646739,,,,,,,
Hippom,,,,,,,,
hippon,,,,,,,,
hippopodame,5917657,,,,,,,
hiraj,,,,,,,,
HIRO1992,1342219,,,,,,,
Hiron-delle,6601505,,,,,,,
HiroshiFuu,12903771,,,,,,,
Hirscha,,,,,,,,
Hirsh,,Al-Sulaiymaniyah,IQ,m,1979,,"Je suis docteur, j'ai eu mes formations en France; un master en génie civil à l'ENTPE à Lyon 2011 et doctorant en génie information et automatique à l'université d'Artois 2014.
Je voudrais améliorer mes capacités scientifiques et apprendre des nouveaux outils qui sont utile dans la recherche.",p
Hirta,,,,,,,,
hisa,2257189,,,,,,,
Hisham_Ammari,10365261,,,,,,,
hishamdika,,,,,,,,
hisherinest,6965141,,,,,,,
hisland,,Auxerre,FR,,None,,,
Hisoka-kun,3834800,,,,,,,
hisouard,,,,,,,,
Hispanica,,,,,,,,
Hissan,,,,,,,,
histoiredo,18751810,,,,,,,
Histoplasma,6378931,,,,,,,
Histrion,,None,,m,1980,,Apprendre,el
Hitachi,,,,,,,,
HitaVarma,14659584,,,,,,,
Hitch11,,Abidjan,CI,m,1986,,Recherche et innovation,m
Hitdpost,13831345,,,,,,,
Hitesh-K,11179987,,,,,,,
hitesharora2497,11000190,,,,,,,
hiteshpopli,11520744,,,,,,,
HITLANDRY,,,,,,,,
hiubito,2769144,,,,,,,
hiverbaie,,Saint-Nazaire,FR,m,1954,,"Mettre en œuvre une démarche d'autoformation par l'outil numérique.
 ",jhs
HIWE,,,,,,,,
Hiyo,5534061,,,,,,,
hizam,943011,,,,,,,
hja,,,,,,,,
hjahoun,6847732,,,,,,,
Hjamal,,,,,,,,
HJB1,,,,,,,,
hjeanmarie,,PARIS,FR,m,None,,,
HJELLOULI,,,,,,,,
Hjemai,5480751,,,,,,,
HJerome,,None,FR,m,1968,,"Curiosité, Nouvelle connaissances",hs
hjimenez,16135184,,,,,,,
HJJ,,,,,,,,
hjjayakrishnan,1196250,,,,,,,
HJM22,,,,,,,,
hjp,385734,,,,,,,
HJP1,4047936,,,,,,,
hjse,,,,,,,,
hjuinj,24638,,,,,,,
hjulien84,,,,,,,,
hjumaa,2040598,,,,,,,
HK2018,,,,,,,,
HK51,,,,,,,,
HKA,,,,,,,,
HKADIJA,,,,,,,,
hkamel,,,,,,,,
HKatz,5176378,,,,,,,
HKECO,4242804,,,,,,,
Hkenzo,,,,,,,,
hkerzazi,,,,,,,,
hkesraoui,,,,,,,,
hketfi,,Narbonne,FR,f,1978,,La pédagogie en ligne est adaptée à ma situation familiale et économique.,m
hkhorommbi,10971579,,,,,,,
hkido,,,,,,,,
hknguyen201,11156589,,,,,,,
hkokturk,,,,,,,,
hkondenyembo1,6479176,,,,,,,
hkossonou,,,,,,,,
hkouao1994,6925574,,,,,,,
hktohoundjo,6903914,,,,,,,
hkwoo,11758517,,,,,,,
hl72,9131336,,,,,,,
hlaffon,2587804,,,,,,,
hlahrach,,,,,,,,
Hlam,,,,,,,,
hlama,11155033,,,,,,,
HLAMON,,,,,,,,
hlaprose,5946646,,,,,,,
hlast,,,,,,,,
hlaura,,,,,,,,
HLaurence,941958,,,,,,,
HLaurent974,,,,,,,,
hlaurioux,,,,,,,,
hlavot,,,,,,,,
hlaziz,5292442,,,,,,,
hlebras,6629837,,,,,,,
hlecoeur,1287048,istres,FR,m,1959,,"suivre un mooc employant l' arduino 
initiation a la fabrication numerique",hs
hlecompte,,,,,,,,
hlecy,18232052,,,,,,,
hledoux,4984993,,,,,,,
hleger1,,,,,,,,
hlekbouri,,Metz,FR,m,1963,,,m
HLEM,,FRESNOY,FR,f,1971,"Cadre, sup",SUIVRE VOS COURS,m
hlene_ng,18585626,,,,,,,
hlene7,6143629,,,,,,,
HLENFANT,,,,,,,,
HLesieur,5265079,,,,,,,
hlevika,,,,,,,,
HLewis,3269963,,,,,,,
hleygonie,,,,,,,,
hleyhuelic,,Nantes,FR,m,1977,,mise à jour compétences informatiques,m
Hlimio,,,,,,,,
hlkok,2579462,,,,,,,
HLMPVB,,,,,,,,
hlndelhi69,,,,,,,,
hlnf,1043895,,,,,,,
Hlngu,,Paris,FR,f,1990,,"Dans le cadre de mes missions, je souhaite monter en compétence dans les domaines processus métiers, conduites du changement et l'urbanisation SI. ",m
HLNQ,,,,,,,,
Hlodwig,4228650,,,,,,,
hlohou,453447,,,,,,,
hlopvet,,,,,,,,
hloret,5622848,,,,,,,
Hlotfi,2815449,,,,,,,
hloul,,kénitra,MA,m,1957,,,p
HLozet,2898540,,,,,,,
HLP,,,,,,,,
hlpp12,1985668,,,,,,,
hlsanh,11223080,,,,,,,
hluc,,Courbevoie,FR,,None,,,
Hm_Arima,,,,,,,,
hm_Tran,,,,,,,,
HM66,13808256,,,,,,,
Hm78,5481410,,,,,,,
HM78FUN,,,,,,,,
hma15,,,,,,,,
HmADAM,,,,,,,,
hmagloire,2252763,,,,,,,
hmagroun,,,,,,,,
HMAHAMAT,6201247,,,,,,,
hmahdhaoui,6007702,,,,,,,
hmahjoub,,,,,,,,
hmaicha,,,,,,,,
hmaillet,,,,,,,,
hmalamin,4686255,,,,,,,
hmalha,,Grenoble,FR,f,1989,,,m
HMALI,,,,,,,,
Hmamech,17763424,,,,,,,
hmandela,3753609,,,,,,,
hmanescau,3618978,,,,,,,
HMANFRINI,7325101,,,,,,,
hmansouri,5214067,,,,,,,
hMarcelat,,,,,,,,
hmarhic,963276,,,,,,,
Hmaroua,5026924,,,,,,,
hmartin2,,SAINT FONS,FR,m,1971,,motivé par le fait que l'outil est utilisé au quotidien pour le développement de modèle en analyse Proche Infra-Rouge domaine analyse Industrielle Secteur Chimie,hs
HMASSAU,2401922,,,,,,,
hmasson,878670,,,,,,,
Hmat,,,,,,,,
hmatheys,,,,,,,,
hmatias,,Bordeaux,FR,,None,"Cadre, sup",,
hmatmati,4450527,,,,,,,
hmauny,2784420,,,,,,,
hmaury,3540852,,,,,,,
HMB,297972,,,,,,,
hmdkcm,,None,TN,m,1977,,Profiter de cours gratuits des universités françaises sans avoir à s'inscrire,m
hmdlc,2506233,,,,,,,
hmdv,6849046,,,,,,,
hmeida,50590,,,,,,,
hmell,,,,,,,,
hmendez,534655,,,,,,,
Hmercy,,,,,,,,
hmerhand,,orsay,FR,,None,,,m
hmeriem,,,,,,,,
hmerzisen,,,,,,,,
hmesidor,,,,,,,,
HMesna,,,,,,,,
hmestas,,,,,,,,
HMET,9131751,,,,,,,
HMI_RV,,,,,,,,
HMI2nnoV,11052517,,,,,,,
Hmid77,18168007,,,,,,,
hmiguelpp,3460728,,,,,,,
hmiiz,,menzel kamel,TN,m,1992,,,m
Hmimou,,GHARDAIA,DZ,m,1952,,Curiosity,m
hminosoa,,,,,,,,
Hmirdja,,,,,,,,
hmithieux,,,,,,,,
hmiura,,,,,,,,
HML,,,,,,,,
hmlesaffre,5182702,,,,,,,
hmn,1704685,,,,,,,
hmodde,,,,,,,,
hmohammed,,,,,,,,
hmokhtari,2967806,,,,,,,
HMones,,Bondy,FR,m,1994,,acquérir des compétences complémentaires a celle déjà acquise,jhs
hmontagnol,,Marseille ,FR,m,1965,,Mutualisation de documents,m
HMonthe,,,,,,,,
hmontoya,,,,,,,,
Hmoquet,,Paris ,FR,m,1995,,"J ai effectué un stage en intégration Web à l ina et j ai trouvé ça super intéressant ces petits cours et exercices m aideront à en savoir d avantages sur le sujet c est une super idée j espère pouvoir y participer !
",hs
HMOST,2494299,,,,,,,
hmouloue,,,,,,,,
hmouzoun,,,,,,,,
hmr,,,,,,,,
hmtharouna,8992198,,,,,,,
hmuller,4071123,,,,,,,
hmunch,1770157,,,,,,,
hmurphyulb,1319402,,,,,,,
hmux,3209192,,,,,,,
HMweze,720974,,,,,,,
Hmx,,,,,,,,
HN,,None,,f,1963,,,other
hnaanani73,,casablanca,MA,m,1973,,,p
HNACER,,CHAMBLY,FR,m,1959,,"La soif d'apprendre et d'être à jour sur les nouvelles technologies.
Le privilège d'accéder à l'une des institutions les plus reconnues dans le monde.  ",m
hnahoulder,90316,,,,,,,
hnakbi,,None,TN,m,1977,,,m
HNakkach,,,,,,,,
hnamous,,,,,,Prof interm,,
hnasser,,hnasser,FR,m,1985,,Apprendre en plein liberté!,p
hnavetat,1572321,,,,,,,
hndiaye,,Dakar,SN,f,1996,,,hs
hndongmba,,Courbevoie,FR,m,1976,,Je souhaite réellement progresser en Anglais et pouvoir converser facilement en Anglais avec mes interlocuteurs.,m
hnero,,,,,,,,
HNF,,,,,,,,
hngandu,2400589,,,,,,,
HNH-Claudia,10490223,,,,,,,
Hnhari,4520097,,,,,,,
hniangui,,,,,,,,
hniati,,,,,,,,
Hnicelle,9566451,,,,,,,
hnivo,,,,,,,,
hnkhnk,6630521,,,,,,,
hnmf,,,,,,,,
hnmf00,,,,,,,,
hnnani,6164266,,,,,,,
hnotable,,,,,,,,
hnoumbo,,Douala,CM,f,1979,,"se former librement me permet dans le cadre de mon emploi de travail tout en me formant sans pression, et une certification en force de vente est une base  qui me permet de prétendre à un avancement mérité dans mon entreprise.",m
hnouvel,,,,,,,,
hnowe,6964187,,,,,,,
hnsseth,,,,,,,,
hnussrocha,12898629,,,,,,,
Hoag,,,,,,,,
Hoai_Anh_Tran,13103642,,,,,,,
Hoalarious,4358677,,,,,,,
Hoama,,,,,,,,
HoangAnh-Chloe,19575064,,,,,,,
Hoangdieutu,,,,,,,,
hoangha271,,,,,,,,
HoangVanLinh,10780800,,,,,,,
HobiAndria,,,,,,,,
hocelui,14995802,,,,,,,
hoch2016,,djibouti,DJ,m,1978,,je voudrais acquerir d'autrre connaisance,jhs
hocine12,,,,,,,,
hocine5052003,,,,,,,,
HODANA,8102601,,,,,,,
Hodariganyvianney,,,,,,,,
HODL_NEO,19624557,,,,,,,
Hoel_G,11213164,,,,,,,
hoel29,,,,,,,,
Hoenir,2852491,,,,,,,
HoerterV,,,,,,,,
Hofbollou,9160131,,,,,,,
hoff,,,,,,,,
HOFFMANN,,,,,,,,
HOFFMANN3,,,,,,,,
Hogarth,2022508,,,,,,,
HOGBAN,,,,,,,,
Hoggo,4740993,,,,,,,
hohi007,21450971,,,,,,,
hoho,,,,,,,,
hohosa,,bouira,DZ,m,1996,,farther education,b
Hoiana,,,,,,,,
HoiMarian,1819132,,,,,,,
hoiming,,,,,,,,
hoiyasabrina,,monastir,TN,f,1995,,,b
Hoj,255861,,,,,,,
Hokie03,2000453,,,,,,,
hokio,,,,,,,,
hoko,17578266,,,,,,,
Hol,,,,,,,,
Hol95,,,,,,,,
hola2001,1836316,,,,,,,
HOLAGNON,,,,,,,,
holako01,,,,,,,,
holala,11918167,,,,,,,
holandino,10676264,,,,,,,
Holaryemi,9205468,,,,,,,
Holdenk,,,,,,,,
holeinone,,None,,m,1959,,,hs
HOLFING,,,,,,,,
HOLIARINAIVO,3816096,,,,,,,
HolieEm,,,,,,,,
Holimalala,,,,,,,,
HollandBronteTinkew,10884546,,,,,,,
hollanderski,,,,,,,,
Holle,,,,,,,,
Holleh93,,,,,,,,
Holly_Arnett,11566691,,,,,,,
holly_nicole_hoffman,19423972,,,,,,,
Holly75,18460038,,,,,,,
HollyHorn,11848571,,,,,,,
Hollykidstuff,12960096,,,,,,,
holmes2015,6809311,,,,,,,
holog1,,,,,,,,
Holopherne,3591711,,,,,,,
holstein-gerard,,,,,,,,
HoltOne,,Savigny le Temple,FR,m,1991,,"Toujours curieux de connaitre les nouvelles technologie et leurs fonctionnement, je pense que ce principe de cours, est quelque chose qui peux m'apporter du plus dans mes connaissances.",b
Holzweg,,,,,,,,
HOMAM,,Epinay sur seine,FR,m,1995,,Je suis réfugié en France et j'aimerais  participer à vos cours pour améliorer mon français,jhs
home_software,1226682,,,,,,,
home91,,,,,,,,
homega3,8035896,,,,,,,
homelia,,,,,,,,
HomeOlivier,529095,,,,,,,
homeostasie,2476705,,,,,,,
homer59,,,,,,,,
HomiraK,10929536,,,,,,,
homizoka,,,,,,,,
homme_de_java,,,,,,,,
HommeSauvage,,Grasse,FR,m,2001,,,el
homran,,,,,,,,
honajames,549414,,,,,,,
honde,6255028,,,,,,,
honey3457,6039370,,,,,,,
honey7226,,,,,,,,
hong0629,1948828,,,,,,,
HongNhi,4248715,,,,,,,
Hongying,1518645,,,,,,,
Honor,5467907,,,,,,,
HonoratNiankoury,2613390,,,,,,,
HonoratRacan,,None,,m,1978,,"Intérêt professionnel, meilleur compréhension et utilisation des statistiques",m
Honore2,9130421,,,,,,,
honoredogne,,,,,,,,
HONOREKS,3096035,,,,,,,
honorine76,,None,,,None,,,
honorinej,,,,,,,,
HonorineT,751096,,,,,,,
Honsou1,,,,,,,,
Hoodie_10,11340429,,,,,,,
hoonie_007,10482875,,,,,,,
Hoore,2485333,,,,,,,
hoothootprod,,,,,,,,
HooverR,13178305,,,,,,,
hoowa,,,,,,,,
hooyaa,6881296,,,,,,,
Hopala,805069,,,,,,,
hopefultilldie,,,,,,,,
hopemassa,2783700,,,,,,,
HopplaBreizh,,,,,,,,
Hopthib,,,,,,,,
Horace1,4774042,,,,,,,
Horacio96,,,,,,,,
horcet,,,,,,,,
horetelico,,,,,,,,
horfee,,,,,,,,
horiyomy,6840475,,,,,,,
horizon1002,,,,,,,,
HorizonScanning,,,,,,,,
horla,,,,,,,,
Horneteur,,Paris,FR,,None,"Cadre, sup",,
Hornie,,,,,,,,
Horodav,,,,,,,,
horrichasma,13741351,,,,,,,
horseck95,,,,,,,,
HortensiaRaynal,18577753,,,,,,,
Hortiks,5495115,,,,,,,
hortole,,,,,,,,
horty190,,,,,,,,
horty22,,,,,,,,
horugavye,,,,,,,,
Horulis,,,,,,,,
horus42,,Paris,FR,m,1988,,,m
horusarthurkout,,,,,,,,
HosamZidan,4552867,,,,,,,
Hoscar,3392077,,,,,,,
Hoshi,6342262,,,,,,,
hosniomar,,,,,,,,
hospiceC,7977476,,,,,,,
hoss83tn,,,,,,,,
Hossain,,None,,m,1971,,,b
Hossam313,287968,,,,,,,
hossun,,,,,,,,
Hostus,,Castelvieilh,FR,m,1961,"Cadre, sup","Ingenieur chimiste (ENSCMu), ma passion est d'apprendre...",m
hosust1,10612733,,,,,,,
HotelIndia,,Besançon,FR,,None,,,
HotJava,4598397,,,,,,,
hotmaths,,,,,,,,
Hotorata,17625078,,,,,,,
hotsam,12718907,,,,,,,
Hotsaucehouse,2281559,,,,,,,
Hotsoup,,,,,,,,
hotuanduc,2040664,,,,,,,
Hou-riya,6239671,,,,,,,
houali38,17866378,,,,,,,
houanj,,,,,,,,
HouariKamel,1588596,,,,,,,
Houat,2948645,,,,,,,
Houba69,,,,,,,,
Houbaa,,Seliana,TN,f,1996,,,b
Houbbane,,Tanger,MA,m,1994,,,m
houbbat,7849776,,,,,,,
Houcinedoc,,,,,,,,
houda_sdn,,CASABLANCA,MA,f,1994,,APPRENDRE DE NOUVELLES  SCIENCES  ET DEVEOPPER MES COMPETENCES,other
Houda77,,,,,,,,
HouDa890,,,,f,,Etudiant,,
houdaatik,,Casablanca,MA,f,1990,,,m
HoudaChe,,,,,,,,
houdadebbich,4861768,,,,,,,
HoudaDZ,,,,,,,,
houdaelmahi,6424063,,,,,,,
HoudaHouda97,,,,,,,,
houdakhalki,,,,,,,,
HoudaR,10401614,,,,,,,
Houditaa,5523882,,,,,,,
houdzi,870205,,,,,,,
HouedegnonPrudence,5755285,,,,,,,
houessou7,,,,,,,,
houji,,,,,,,,
houkom,,,,,,,,
Houlamea,4965661,,,,,,,
houldali,,Cergy-Pontoise,FR,f,1993,,,m
Houley-D,,,,,,,,
Houleye,,,,,,,,
Houlibi,,,,,,,,
houmalek,,levallons perret ,FR,m,1975,,introduction des objets connectés ,m
Houman,,,,,,,,
houmani,,,,,,,,
houmim,,,,,,,,
houmsahel,,,,,,,,
houndai,,,,,,,,
Houngan,,,,,,,,
hounmanou,365193,,,,,,,
hountter,3598354,,,,,,,
Houonsegui_Gbei,10933696,,,,,,,
HOUONSEGUIHERMANN,,,,,,,,
Houpdelta,,None,,m,1971,,"Le teaser, rester dans la course pour les prochaines années et mon métier responsable de formation.",a
HOURAMH,,,,,,,,
HouriaB30,,,,,,,,
HouriaL,,,,,,,,
Houriri,946404,,,,,,,
Hourmatallah,,,,,,,,
hourra,,,,,,,,
house,,,,,,,,
Housefou,,,,,,,,
housem,,,,,,,,
Housna1,5166796,,,,,,,
housong,285471,,,,,,,
Houssa34,7683386,,,,,,,
houssaint,,,,,,,,
Houssam-salim0,,,,m,,Etudiant,,
HOUSSAME,8174666,,,,,,,
housseine2016,,RABAT,MA,m,1983,,,hs
Houssem_k,,,,,,,,
houssem006,,Fouchana,TN,m,1989,,,m
houssem22,459050,,,,,,,
HOUSSEM2323,,,,,,,,
houssemef,5402254,,,,,,,
houssine60,5290675,,,,,,,
HoussineG,4780489,,,,,,,
houston06,,,,,,,,
HOUTFAROUIN,,marrakech,MA,m,1993,,,hs
houvenaghel,,Ronchin,FR,m,1973,,Acquérir de nouvelles compétences et si possible avoir une certification.,m
HOUYM,,,,,,,,
Houyo,,Font-Romeu,FR,m,1983,,Consolidation de mes acquis et réorientation professionnelle,m
howarddierking,7204929,,,,,,,
howardito,11168415,,,,,,,
HowardPost,11374353,,,,,,,
howiz,,,,,,,,
Howsikan,,,,,,,,
hoya,,Paris,FR,f,1993,"Cadre, sup",,m
hoyerin,1304389,,,,,,,
hozepha,,,,,,,,
hpa69,5787634,,,,,,,
hpaillart,,,,,,,,
hpale,,,,,,,,
hpamiens,,,,,,,,
Hpaques,9502546,,,,,,,
hpaR,559398,,,,,,,
HPascal,76912,,,,,,,
hpascalj,5493330,,,,,,,
HPASCO,,,,,,,,
hpasselande,2483497,,,,,,,
hpateau,,,,,,,,
hpaulin,,,,,,,,
hpelletier,,,,,,,,
hpeutr,3705076,,,,,,,
hpicart,6700754,,,,,,,
hpiegay,932037,,,,,,,
